   1 AD authentication	VPNs
   1 a lure	wife
   1 a lureâ	video
   1 a main part	the legal software TeamViewer
   1 a malicious email	exhortations
   1 a malware delivery method	phishing
   1 a manifestation	powers
   1 a manifestation	s key cyber
   1 a marker	MBR
   1 a marker	string
   1 a matter	information
   1 a means	Axiom targets
   1 a means	China
   1 a means	NGOs
   1 a means	SSL certificate
   1 a means	capabilities
   1 a means	domestic production
   1 a means	downloads
   1 a means	drives
   1 a means	exploits
   1 a means	hardware
   1 a means	localhost
   1 a means	processes
   1 a means	social engineering tactics
   1 a means	the internet
   1 a means	this espionage
   1 a means	this request functions
   1 a means	use
   1 a means	warfare
   1 a means	web pages
   1 a means	years
   1 a measure	the attack
   1 a mechanism	Facebook status
   1 a mechanism	Tor network
   1 a mechanism	malware
   1 a mechanism	messages
   1 a mechanism	system
   1 a mechanism	the infected computer
   1 a medium	games
   1 a mercenary entity	the threat actor
   1 a method	Cyber realm
   1 a method	POST bodies
   1 a method	each attack
   1 a method	local administrator credentials
   1 a minifilter	a driver
   1 a minister	the same stature
   1 a model	MSS operational concept
   1 a model	serves
   1 a moderator	an active presence
   1 a modern operating system	Windows
   1 a modular framework exists	FakeM
   1 a module	memory
   1 a motive	money
   1 a much wider geographic area	concentrations
   1 a multiplier	the attack
   1 a nation	this context
   1 a necessary skill	geometry
   1 a network	the victim
   1 a network drive	a OneDrive cloud storage drive
   1 a network pivot	machine serves
   1 a network relay	the role
   1 a network sniffer	modes
   1 a new process	the default browser
   1 a new removable device	USB
   1 a new weapon	attacks
   1 a nuisance	defacements
   1 a parallel	a modern fuel service station
   1 a parameter	a fi lename string
   1 a parameter	functions
   1 a parameter	the following registry entry
   1 a parameter	the message
   1 a parameter	this export
   1 a parcel	Posing
   1 a part	DDoS attacks
   1 a part	HMIs
   1 a part	the history file
   1 a particular domain	the online Duo Insight
   1 a partner	Elaman
   1 a partner	FinFisher reseller
   1 a password	the form
   1 a payload	Komplex
   1 a payload	continued use
   1 a payload	this tool
   1 a payload run type	character
   1 a percentage	objects
   1 a percentage	this family
   1 a permanent rule	answer
   1 a persistent service	backdoor
   1 a person	the form
   1 a pet project	Wannacry
   1 a phishing campaign	Nile Phish targets
   1 a phishing campaign	an organization
   1 a phone number	site content
   1 a pivot	servers
   1 a pivot	the Xtunnel infected machine
   1 a pivot	the client
   1 a platform	a private network
   1 a platform	credentials
   1 a point	spear phishing
   1 a political activity	war
   1 a political tool	DDoS attacks
   1 a popular website	a news website
   1 a possible triggering event	Flame malware
   1 a potential adversary	US
   1 a potential payload	Meterpreter
   1 a potential tool	the internet
   1 a powerful source	Internet
   1 a precursor	this exercise
   1 a preferred allocation base	PE header
   1 a primary backdoor	a web shell
   1 a primary defense	systems
   1 a primary language	English
   1 a primary language	use English
   1 a primary tool	the vulnerability
   1 a priority	security
   1 a private organization	Beijing Topsec
   1 a problem	EU
   1 a process	memory
   1 a profile	the form
   1 a prominent threat vector	media
   1 a proof	the server
   1 a propagation method	AhnLab Policy Center
   1 a protected container	serves
   1 a protection mechanism	DNP3
   1 a proxy	Dynamic API Loading
   1 a proxy	Opening Windows Firewall Method Acts
   1 a proxy	a compromised system
   1 a proxy server	computer
   1 a proxy server	the infected machine
   1 a proxy tool	HTRAN
   1 a random	stealth position
   1 a ransomware tool	Shamoon
   1 a realistic simulated exercise	this malware
   1 a reasonable variation	targeting
   1 a redundancy infection	a victim system
   1 a renamed netui3	the form
   1 a representative	someone posing
   1 a resource	stores the configuration block
   1 a response	weapons
   1 a result	Billion
   1 a result	a conversion dialog
   1 a result	a file
   1 a result	a remote system
   1 a result	data
   1 a result	environments
   1 a result	information
   1 a result	privileges
   1 a result	resources
   1 a result	systems
   1 a result	the actual control systems
   1 a result	the target
   1 a result	this time frame
   1 a result	websites
   1 a result	zones
   1 a result the list	platforms
   1 a reverse backdoor shell	the netcat utility
   1 a reverse backdoor shell	utility
   1 a reverse backdoor shell Copyright	the netcat utility
   1 a reverse shell	capability
   1 a satellite	a nuclear warhead
   1 a scheduled task	Register the payload
   1 a scheduled task	a downloaded database file
   1 a second decoy	acts
   1 a second factor	a smart card
   1 a secondary backdoor	Dukes group
   1 a security firm	Poseidon Group
   1 a security tool	the internet
   1 a seed	the current time
   1 a separate domain	cyber
   1 a separator	character
   1 a sequence	the form
   1 a serious actor	ProjectSauron
   1 a server	ZxShell node
   1 a server	the server variant
   1 a service	DLL running
   1 a service	Explosive Trojan
   1 a service	automation
   1 a service	commercial software
   1 a service	installs Emissary
   1 a service	running
   1 a service	the driver
   1 a service	the installation
   1 a service DLL	Startup folder
   1 a service DLL	respond
   1 a share	the remote machine
   1 a show	nations
   1 a sign	fact
   1 a silver bullet	attacks
   1 a simple algorithm	the following
   1 a simple backdoor	Regin platform
   1 a single attacker	attacks
   1 a single compromise	network
   1 a single data	modules
   1 a single theater	Pakistan
   1 a slang term	attackers
   1 a slideshow	various conference materials
   1 a smokescreen	s network
   1 a social engineering technique	the email body
   1 a software deployment task	malware
   1 a software toy	reputation
   1 a sort	subdirectories
   1 a source	cybercriminals
   1 a source	militaries
   1 a sovereign nation	Ukraine
   1 a spear phishing theme	Taiwan presidential election
   1 a specialized assembly	code
   1 a specific industrial control system	a gas pipeline
   1 a specific industrial control system	power plant
   1 a specific user Close	C2 server
   1 a specific user Close	Launch a program
   1 a sponsor	website
   1 a spying backdoor	Sedreco
   1 a stand	classification
   1 a standalone alternative	Trojan
   1 a standard environment	Windows binaries
   1 a standard executable image	the form
   1 a standardized reference	question
   1 a starting point	act
   1 a startup method	the registry
   1 a state	China
   1 a statement	this declaration
   1 a step	the brighter side
   1 a string	StartupInfo structure
   1 a string	a file present
   1 a string	hexadecimal representation
   1 a string	the infected system
   1 a string resource	an encrypted format
   1 a structure	this one
   1 a subgroup	Bluenoroff
   1 a subprocedure call	the main backdoor thread
   1 a subprocess	Internet Explorer
   1 a supply chain infection	Shadowpad
   1 a surprise	EMP burst
   1 a suspected Russian government	APT28
   1 a suzerain	China
   1 a system file	creation
   1 a tailored solution	operations
   1 a target	a visitor
   1 a target	an aggressor
   1 a terroristic threat	North Korea
   1 a test	a German gas company
   1 a text file	control
   1 a text file	control server
   1 a theme	Tibetan Uprising anniversary
   1 a theme	anniversary
   1 a threat	Baltic states
   1 a threat	China perceives
   1 a threat	Tibetan movement
   1 a threat	eastward expansion
   1 a token	C2 response
   1 a token	data
   1 a tool	beginnings
   1 a tool	cyber
   1 a tool	cyber attacks
   1 a tool	intended usage
   1 a toolbox	the attacker
   1 a traditional border network	the same manner
   1 a tree	the figure
   1 a trojan dropper	the form
   1 a trustworthy entity	the user
   1 a two	Seduploader
   1 a use	international law
   1 a userland centric	Cobra Carbon System
   1 a valuable trading partner	China
   1 a vector	Web compromise
   1 a vector	applications
   1 a vector	strategic web compromise
   1 a vector	this server
   1 a vehicle	PPSX documents
   1 a vendor	visibility
   1 a video	the form
   1 a virtual environment	VMware
   1 a virus	nature
   1 a volume	the image
   1 a voluntary waypoint	Google
   1 a watering hole attack	this attack method
   1 a way	China
   1 a way	cyber attacks
   1 a way	infection
   1 a way	mobile phone numbers
   1 a way	this past summer
   1 a way	vulnerability
   1 a weapon	cyberattacks
   1 a web browser	Internet Explorer
   1 a web browser	Microsoft Edge
   1 a webpage	a bank
   1 a whole	American industry
   1 a whole	Chinese cyber activity
   1 a whole	West
   1 a whole	a system
   1 a whole	industry
   1 a whole	infections
   1 a whole	inquiry
   1 a whole	petabytes
   1 a whole	the conflict
   1 a whole	the malware
   1 a whole	the system
   1 a whole	threat intelligence
   1 a whole	uranium enrichment system
   1 a whole Figure	the cascade
   1 a wide character string	the binary
   1 a work environment	The encrypted file systems
   1 a work environment	function
   1 a worm	Moose
   1 a year	a listing
   2 a	King
   2 a Test	Ukraine Crisis
   2 a channel	OneDrive
   2 a corporate mail solution	Gmail
   2 a decoy	an audio file
   2 a form	attacks
   2 a high profile group	Sednit
   2 a lure	Pathankot attack
   2 a payload	Emissary Trojan
   2 a secondary communication channel	OneDrive
   2 a service	Gmail
   2 a service	the payload
   2 a state actor	China
   2 a strategic domain	cyberspace
   2 a string	the form
   2 a vector	email
   2 a weapon	information
   2 a web pop	the form
   2 a whole	the attack
   3 a service	startup
   4 a service	DLL
   1 above	GUIDs
   1 abuses	disappearances
   1 abuses	torture
   1 access sensitive information	intellectual property
   1 access sensitive information	negotiation strategies
   1 access sensitive information	political dynamite
   1 accessible material	a news report
   1 accoounts	same time
   1 account aspects	the economic stability
   1 accounts	Facebook
   1 accounts	Windows Live
   1 accounts	Yahoo
   1 accounts	administrator accounts
   1 accounts	d0ta010
   2 accounts	Gmail
   1 action	any form
   1 actions	None
   1 actions	browser fingerprinting
   1 actions	executables
   1 actions	information gathering
   1 actions	kill processes
   1 actions	lateral movement
   1 actions	services
   1 actions	social engineering attacks
   1 actions	the ability
   1 actions	the death
   1 activities	Adversary
   1 activities	a massive subversion
   1 activities	banking
   1 activities	child pornography
   1 activities	credit card fraud
   1 activities	drug smuggling
   1 activities	identity theft
   1 activities	incident handling
   1 activities	international engagement
   1 activities	investigations
   1 activities	manufacturing
   1 activities	rogue antivirus
   1 activities	static analysis categorization
   1 activities	technical analysis
   1 activities	transportation
   2 activities	crimes
   2 activities	malware
   1 activity	China
   1 activity	Iran
   1 activity	relationships
   1 activity enable anyone	this sort
   1 actor	a government
   1 actors	APT
   1 actors	APT groups
   1 actors	APT10
   1 actors	Anonymous
   1 actors	Bahrain
   1 actors	Governments
   1 actors	Linxder
   1 actors	RSA breach
   1 actors	actors
   1 actors	crime
   1 actors	exile groups
   1 actors	hacktivist
   1 actors	organizations
   1 actors	proxies
   1 added functionality	Web injects
   1 addition RATs	Cerberus
   1 addition RATs	Cybergate
   1 addition RATs	XtremeRat
   1 additional information	IP
   1 additional information	port numbers
   1 additional malware features	the ability
   1 administration systems	state security actors
   1 administration tools	Bitsadmin
   1 administration tools	PowerShell
   1 administration tools	PsExec
   1 administrator	Run
   1 administrator	commands
   1 administrator Persistent	Temporary component INSTALLER Bypass UAC Run
   1 adoption	a vote
   1 advanced functionality	screen capturing
   1 advanced network threats	termination
   1 advanced persistent threat	this sort
   1 advanced protection method	a custom
   1 advanced protection method	rootkit functionality
   1 advanced protection techniques	a custom
   1 advanced threat actors	Shell Crew
   1 adversaries	AURORA PANDA
   1 adversaries	CHARMING KITTEN
   1 adversaries	FLYING KITTEN
   1 adversaries	ROCKET KITTEN
   1 adversaries	VICEROY TIGER
   1 adversaries	adversaries
   1 adversaries	nations
   1 advice	the following
   1 algorithms	AES
   1 algorithms	Blowfish
   1 algorithms	DES
   1 aliases	ahzab
   1 aliases	kaveh
   1 aliases	merah
   1 all header information	cookies
   1 all remote access solutions	VPNs
   1 all remote access solutions	actors
   1 all remote access solutions	prevents threat
   1 all remote access solutions	remote email
   1 an	April campaign
   1 an	this activity
   1 an English linguist	training
   1 an active defense	hunting
   1 an active warzone	Libya
   1 an added measure	this name requirement
   1 an administrator	ID
   1 an administrator	NTLM Hash information
   1 an administrator	password
   1 an advanced threat	a state actor
   1 an adversary tool	Poison Ivy
   1 an all	the tool
   1 an ally	China
   1 an ally	France
   1 an alternative	Google Drive
   1 an alternative connection	ms pschedmp
   1 an anti	detection protection mechanisms
   1 an anti	mouse movement
   1 an apparent error	the wrong target
   1 an application	forums
   1 an archive ASERT	emails
   1 an argument	SCT file
   1 an argument	the key length
   1 an armed attack	violence
   1 an array	a message queue
   1 an asymmetric tactic	cyber warfare
   1 an attachment	PDF
   1 an attachment	RTF file
   1 an attachment	additional malware
   1 an attachment	direct delivery
   1 an attachment	malware
   1 an attachment	the target computers
   1 an attack	the attempt
   1 an attack vector	Lightsout exploit kit
   1 an attack vector	email
   1 an attempt	authors
   1 an attribute	serves
   1 an automatic test system	many other security vendors
   1 an autostart	Startup folder
   1 an e	a malicious file
   1 an effort	malicious code
   1 an element	Mail accounts
   1 an elevated process	the copied shortcut
   1 an elite hacker group	credentials
   1 an email purporting	the form
   1 an embedded decoy	security application
   1 an encrypted binary array	an encrypted resource entry
   1 an encrypted file	the payload
   1 an encrypted status message	the following
   1 an encryption key	C2 server
   1 an entry point	attackers
   1 an entry point	social engineering
   1 an evasion method	authors
   1 an example	the Vietnamese backdoor
   1 an executable file	Stuxnet DLL
   1 an expensive cyberespionage campaign	ProjectSauron
   1 an expert	NATO members
   1 an exploit kit	the page
   1 an exploit server	Javascript code
   1 an extension	the xpi file
   1 an extension list	resources
   1 an honor	military duty
   1 an identifier	the attacker
   1 an illegal occupation	presence
   1 an in	the form
   1 an inalienable part	PRC views
   1 an inalienable part	Taiwan
   1 an incompatibility	West
   1 an index	EAX register
   1 an indictment	findings
   1 an indispensable negotiator	services
   1 an infected computer	Skype
   1 an infected computer	passwords
   1 an infected computer	the flame version
   1 an infection vector	exploits
   1 an infection vector	the Indian government
   1 an initial attack vector	social engineering
   1 an initial filter grep	the following regular expression
   1 an initial infection vector	Web compromises
   1 an initial infection vector	email
   1 an input argument	an initial value
   1 an integer number	file
   1 an integer value	ParamB
   1 an integral part	computer network operations
   1 an intermediary	Twitter
   1 an intermediary point	attackers
   1 an internal author	Dev hima
   1 an internal problem	PRC views
   1 an internal problem	Tibet
   1 an issue	security
   1 an observer	the cyber defence centre
   1 an officer	years
   1 an opportunity	this ongoing research
   1 an organization hasn	SWIFT
   1 an originator	IP address
   1 an outcome	losses
   1 an unsolicited e	the form
   1 an untrusted application	a remote access Trojan
   1 an unused service	installation
   1 an unusual programming technique	Object Oriented C
   1 an update	a user
   2 an attachment	Microsoft Office document
   2 an attachment	email
   2 an executable file	the form
   5 an initial infection vector	Web compromise
   1 analysis	IsDebuggerPresent The malware
   1 analysts	West
   1 analytics	counters
   1 anonymization	PrivacyProtect
   1 another attack vector	Office document
   1 another attack vector	PDF
   1 another attack vector	attacks
   1 another packet consisting	the form
   1 another source	a particular custom ICS
   1 another source	example code
   1 another user	a new process
   1 another victim computer	an air
   2 another piece	the form
   1 any data	the actor
   1 any purpose	tactical support
   1 any speaker	policy
   1 any suspicious activity	cybersecurity incidents
   1 any suspicious activity	poss ble malicious code
   1 any suspicious activity	software vulnerabilities
   1 anyone	counterintelligence organisations
   1 anyone	governments
   1 anyone	law enforcement
   1 anything	a transferred file
   1 anything	shellcode
   1 app11	Same file
   1 application publisher	Dev hima
   1 application publisher	the name
   1 applications	Adobe 
   1 applications	Adobe Reader Kaspersky Lab products
   1 applications	Flash
   1 applications	PDF viewers
   1 applications	Remote Manipulator Tool
   1 applications	UltraVNC
   1 applications	VNC
   1 applications	document viewers
   1 applications	heavy use
   1 applications	media applications
   1 applications	web browsers
   2 applications	Adobe Flash Player
   2 applications	Microsoft Office
   2 applications	wget
   3 applications	Java
   1 appropriate	changes
   1 apps	A wide range
   1 apps	Facebook
   1 apps	Gmail
   1 apps	KakaoTalk
   1 apps	Skype
   1 apps	Telegram
   1 apps	WhatsApp
   1 apps	fake news apps
   1 apps	others
   1 architectures	ARM
   1 architectures	MIPS
   1 archives	RAR
   1 areas	Barents Sea shelf
   1 areas	Dongguan
   1 areas	IT
   1 areas	Raqqah
   1 areas	airline security
   1 areas	biotech
   1 areas	defense
   1 areas	information technology
   1 areas	nanotechnology
   1 areas	national security
   1 areas	safety
   1 areas	the compromise
   1 areas	transportation Victim
   2 areas	aerospace
   1 argument	previous path
   1 artifacts	signs
   2 artifacts	campaign identifiers
   2 artifacts	passwords
   1 aspects	the name
   2 aspects	DNC
   1 assets	exclusiveness
   1 attachment	PDF exploit
   1 attachments	Microsoft Office documents
   1 attachments	Office documents
   1 attachments	RTF files
   1 attachments	documents
   1 attachments	files
   1 attack	a distinct form
   1 attack	an operation qualifies
   1 attack groups	Scarlet Mimic
   1 attack groups	TA459
   1 attack targets	entities
   1 attacker methodologies	lateral movement
   1 attacker methodologies	new persistence creation
   1 attackers	APT groups
   1 attackers	Equation
   1 attackers	Facebook
   1 attackers	Gh0stRat
   1 attackers	Lotus Domino email
   1 attackers	Microsoft Exchange
   1 attackers	Rocket Kitten
   1 attackers	Turla
   1 attackers	ease
   1 attackers	keystrokes
   1 attackers	logical measure
   1 attackers	piracy hacktivists
   1 attackers	s network
   1 attackers	twitter accounts
   1 attacks	Estonia
   1 attacks	Georgia
   1 attacks	Operation Beebus
   1 attacks	PSYOPS
   1 attacks	Sarin gas
   1 attacks	Shamoon
   1 attacks	Stuxnet
   1 attacks	an ambush
   1 attacks	attacks
   1 attacks	date none
   1 attacks	disinformation
   1 attacks	fraggle attacks
   1 attacks	smurf attacks
   1 attacks	teardrop attack
   1 attacks	the nature
   2 attacks	Night Dragon
   1 attributes	jewelry
   1 attributes	watches
   1 attribution	domain name registration data
   1 authentication	a form
   1 authorities	FireEye iSIGHT
   1 authorities	Intelligence
   1 authority	information
   1 automated security tools	antivirus
   1 available free web sources	Podcasts
   1 available free web sources	RSS feeds
   1 available free web sources	blogs
   1 available free web sources	photo uploading
   1 available free web sources	torrents
   1 available free web sources	video uploading
   1 available software	hacking tools
   1 available tool	HTRAN
   1 available tool	oledump
   1 backdoor loader	some sort
   1 backdoors	Gh0st
   1 backdoors	Gh0st RAT
   1 backdoors	the vast majority
   2 backdoors	Poison Ivy
   1 backup	a localhost address
   1 bait	an Ethiopian opposition group
   1 bait	files
   1 bait Exploit	conference
   2 bait	conference
   1 bank employees	system administrators
   1 banking applications	BLIZKO
   1 banking applications	IFOBS
   1 banks	Malware Similarity Just
   1 banks	Ukraine
   1 base64 algorithm	JVdJTkRJUiUA
   1 basic backdoor functionality	the ability
   1 basic information	DEMO
   1 basic information	the machine name
   1 basic operational security practices	server compartmentation
   1 basic security measures	firewalls
   1 basic system information	IP address
   1 basic system information	operating system version
   1 basic system information	username
   1 beacons	CORESHELL
   1 belonging	data
   1 belonging	links
   1 benefits	the following Rapid Triage
   1 binaries	none
   1 binaries	some custom error messages
   1 binary instrumentation tools	DynamoRio
   1 binary instrumentation tools	PIN
   1 blackmail	a deterrent
   3 blog posts	the form
   1 blogging platforms	TYPO3
   1 bodies	CERT coordination
   1 breaches	the form
   1 browsers	Firefox
   1 browsers	Mozilla
   1 browsers	Opera
   4 browsers	Internet Explorer
   1 builder application	some sort
   1 businesses	critical infrastructure
   1 bytes	systems
   1 camouflage	video files
   1 camouflage	years
   1 campaign	transactiona 
   1 campaigns	ArcomRAT
   1 campaigns	Aurora
   1 campaigns	DarkComet
   1 campaigns	NetTraveler
   1 campaigns	a number
   1 campaigns	attacks
   1 campaigns	people
   1 campaigns	targets
   1 campaigns	this campaign
   1 capabilities	deliberate targeting
   1 capabilities	espionage
   1 capabilities	runtime checks
   1 capabilities	techniques
   1 capabilities	the ability
   1 capable platform	Guidance EnCase Enterprise
   1 capable platform	Verdasys Digital Guardian
   2 capable platform	McAfee ePO
   1 captions	none
   1 capture online banking credentials	account names
   1 capture online banking credentials	passwords
   1 cases	Russia
   1 cases	cyberespionage
   1 cases	the target
   1 cases	visitors
   1 categories	pornography
   1 censorship	keyword
   1 censorship	nationwide censorship campaigns
   1 certain technology	computer technology
   1 certificate fields	the issuer
   1 challenges	drug
   1 challenges	human trafficking
   1 changes	C
   1 channels	DNS
   1 channels	forums
   1 channels	popular search engines
   1 channels	publication
   2 characterizations	the fundamental first step
   1 characters	dots
   1 characters	spaces
   1 checks	Timer
   1 checks	a flag
   1 checks	a test
   1 checks	the caller
   1 chief	tenure
   1 cities	Crimea
   1 cities	St
   6 cities	Moscow
   1 civic action	any sort
   1 civilians	protection
   1 classic obfuscation techniques	insertion
   1 client storage	Internet Explorer
   1 client storage	Mozilla Firefox
   1 client storage	Remote Access Service
   1 clients	titles
   1 close	data
   1 cloud computing platforms	Baidu
   1 cloud computing platforms	Google
   1 cloud computing platforms	Twitter
   1 cloud computing platforms	Yahoo
   1 clusters	Cluster
   1 clusters	usage
   1 code	d
   1 code	implementation
   1 code analysis	the form
   1 code injection	CreateRemoteThread
   1 code names	APT28
   1 cohesive manner	any sort
   1 coincidence	some sort
   1 collaboration	some form
   1 colleagues	IBM X
   1 colleagues	Palo Alto
   1 combat aircraft	India
   1 combat aircraft	Israel
   1 combat aircraft	South Africa
   1 combat aircraft	South Korea
   1 combat aircraft	Taiwan
   1 command	Enfal
   1 command	cyber espionage attacks
   1 command	domains
   1 command	hosts
   1 command	the same way
   1 command strings	DDOSHTTPFLOOD
   1 command strings	GetMsnList
   1 command strings	GetOfflineLogs
   1 command strings	KeylogOn
   1 command strings	WEBCAMLIVE
   2 command	servers
   3 command	Mail accounts
   1 commander	mission
   1 commands	HTML pages
   1 commands	a dozen
   1 commands	audio capture
   1 commands	copy file
   1 commands	different special handle values
   1 commands	file
   1 commands	file manager
   1 commands	ipconfig
   1 commands	keylogger
   1 commands	move file
   1 commands	packets
   1 commands	remote shell
   1 commands	screen capture
   1 commands	system
   1 commands	tags
   1 commands	webcam view
   1 comments	inline
   1 comments	source code
   1 commercial malware	DaVinci RCS
   1 commercial malware	FinFisher
   1 common communication	Chats
   1 common communication	Email
   1 common computer utilities	TrueCrypt
   1 common computer utilities	WinRAR
   1 common computer utilities	WinUtils
   1 common file types	DOC
   1 common file types	PPT
   1 common file types	RTF
   1 common file types	XLS
   1 common financial fraud	theft
   1 common hacking tools	Mimikatz
   1 common hacking tools	PSExec
   1 common malware repositories	Malwr
   1 common malware repositories	VirusTotal
   1 common system paths	C
   1 common web exploitation techniques	SQL injection
   1 commonplace registry entries	the startup configurations
   1 communication	phone calls
   1 communication encryption	unique form
   1 communication functions	C
   1 communications	critical infrastructure components
   1 communications mechanism	email
   1 communications mechanism	skype
   1 communications service provider	Telenor Pakistan
   1 companies	Black Gold
   1 companies	Gamma International
   1 companies	Gas
   1 companies	Kaspersky
   1 companies	Symantec
   1 companies	TrendMicro
   1 companies	Yahoo
   1 companies	cryptocurrency exchanges
   1 companies	dozen
   2 companies	Apple
   2 companies	FinFisher
   2 companies	Google
   2 companies	Hacking Team
   2 companies	Microsoft
   2 companies	Twitter
   3 companies	Facebook
   1 company	Telvent
   1 complex malware frameworks	Flame
   1 components	BlackEnergy
   1 components	C2 servers
   1 components	Cyber Reconnaissance
   1 components	KillDisk
   1 components	SAV
   1 components	a decoy document
   1 components	applications
   1 components	code execution
   1 components	document exfiltration
   1 components	driver
   1 components	file listing
   1 components	legitimate remote access software
   1 components	loaders
   1 components	the dropper
   1 components	the list
   1 components	the registry
   1 components	utilities
   1 compromises	payment processing capabilities
   1 computer	documents
   1 computer	the ability
   1 computer network exploitation	TAO operations
   1 computer network exploitation	the targeted use
   1 computer worms	Code Red
   1 computer worms	Slammer
   1 computer worms	Stuxnet
   1 computers	bees
   1 computers	malware
   1 computers	s contacts
   1 conditions	date
   1 conditions	file extension
   1 configuration settings	icon insertion
   1 configuration settings	modification
   1 configurations	peer hostnames
   1 conflict	a form
   1 conflict	this new form
   1 connectback looks	http
   1 constricting	Government perceives
   1 consumers	attacks
   1 containers	the form
   1 contains information	computer name
   1 content	association
   1 content	cookies
   1 content	employment history
   1 content	hacking tools
   1 content	information security topics
   1 content	spyware
   1 content management system	some form
   1 contraband data	child pornography
   1 contractors	Transocean
   1 control servers	redundancies
   1 control system attacks	Stuxnet
   1 controls	antivirus
   1 conventions	internal tool
   1 conventions	project
   1 core internet infrastructure	the domain name system
   1 corporate environment	this sort
   2 corporate espionage groups	Butterfly
   1 corruption	values
   1 counteranalysis capabilities	runtime checks
   1 countries	Austria
   1 countries	Bahrain
   1 countries	Bangladesh
   1 countries	Brunei
   1 countries	Bulgaria
   1 countries	Canada
   1 countries	Georgia
   1 countries	Government
   1 countries	Greece
   1 countries	Hungary
   1 countries	Indonesia
   1 countries	Laos
   1 countries	Mongolia
   1 countries	Montenegro
   1 countries	Myanmar
   1 countries	Pakistan
   1 countries	Philippines
   1 countries	Qatar
   1 countries	Romania
   1 countries	Singapore
   1 countries	South Korea
   1 countries	Sri Lanka
   1 countries	Sweden
   1 countries	Thailand
   1 countries	Turkmenistan
   1 countries	US
   1 countries	a solution
   1 countries	another country
   1 countries	countries
   1 countries	language barriers
   1 countries	ministries
   2 countries	Belarus
   2 countries	Belgium
   2 countries	Cambodia
   2 countries	Hong Kong
   2 countries	India
   2 countries	Japan
   2 countries	Kazakhstan
   2 countries	Libya
   2 countries	Mexico
   2 countries	Nigeria
   2 countries	Poland
   2 countries	Somalia
   2 countries	Switzerland
   2 countries	Taiwan
   2 countries	United
   2 countries	United Arab Emirates
   2 countries	Vietnam
   3 countries	Afghanistan
   3 countries	Ecuador
   3 countries	Germany
   3 countries	Iraq
   3 countries	Syria
   4 countries	Iran
   4 countries	Israel
   4 countries	Malaysia
   4 countries	Saudi Arabia
   4 countries	Turkey
   4 countries	Ukraine
   7 countries	China
   8 countries	Russia
   1 credential theft tools	PwDump
   1 credential theft tools	mimikatz
   1 credentials	Kerberos tickets
   1 credentials	NTLM hashes
   1 credentials	account numbers
   1 credentials	user passwords
   1 credentials	usernames
   2 credentials	passwords
   1 crimes	activities
   1 crimes	corruption
   1 crimes	drug trafficking
   1 crimes	terrorism
   1 crimes	the lack
   1 criminal cyber activities	the use
   1 crisis events	data breaches
   1 crisis events	economic espionage
   1 criteria	day
   1 criteria	the hour
   1 critical infrastructure components	telecommunications
   1 critical infrastructure firms	industrial control networks
   1 critical infrastructure firms	oil refineries
   1 critical infrastructure firms	power grids
   1 crucial gateway systems	proxy
   1 cryptography	some form
   1 cryptonyms	BERSERK BEAR
   1 cryptonyms	BOULDER BEAR
   1 cure Malware	Smoaler
   1 currency markets	cryptocurrency markets
   1 current user	new process
   1 custom activity records	keys
   1 customers	Angola
   1 customers	Egypt
   1 customers	Figure
   1 customers	Gabon
   1 customers	Jordan
   1 customers	Kazakhstan
   1 customers	Kenya
   1 customers	Lebanon
   1 customers	Morocco
   1 customers	Oman
   1 customers	Paraguay
   1 customers	Saudi Arabia
   1 customers	Slovenia
   1 customers	Spain
   1 customers	Taiwan
   1 customers	Turkey
   1 customers	Venezuela
   1 customers	the rate
   1 cyber attackers	China
   1 cyber attacks	botnets
   1 cyber attacks	means
   1 cyber attacks	proxies
   1 cyber conflict the rhetoric	own form
   1 cyber espionage	the form
   1 cyber espionage	the use
   1 cyber security attacks	another form
   1 cyber techniques	distributed denial
   1 cyber terrorists	Anonymous
   1 cyberattacks	file
   1 cyberattacks	the massive data leak
   1 cybercrime activity	some form
   1 cybercriminals	attacks
   1 cyberspace	Estonia
   1 cyberspace	Iceland
   1 cyberspace	Lebanon
   1 cyberstrategy	the development
   1 cyberwar	a form
   1 d	samples
   1 data	IMEI number
   1 data	OS version number
   1 data	Office documents
   1 data	SMS messages
   1 data	The relevant file hashes
   1 data	a bugged phone call
   1 data	account information
   1 data	address books
   1 data	banking
   1 data	business contracts
   1 data	calendar data
   1 data	commands
   1 data	contact lists
   1 data	datestamps
   1 data	documents
   1 data	email
   1 data	employees
   1 data	examples
   1 data	intellectual property
   1 data	internal memoranda
   1 data	malware samples
   1 data	malware version number
   1 data	messages
   1 data	negotiations
   1 data	numbers
   1 data	passwords
   1 data	policy papers
   1 data	processes
   1 data	repetitions
   1 data	s signatures
   1 data	structures
   1 data	the fake website catalogues
   1 data	the module path
   1 data	the system version
   1 data	the user
   1 data	this snippet
   1 data	timestamps
   1 data	unique bot id
   1 data	usernames
   1 data exfiltration	outbound traffic
   1 data files	remote storage
   1 data files	the form
   1 data structures	custom objects
   1 data structures	lists
   1 data structures	strings
   1 data theft	information
   2 data	the malware
   3 data	emails
   1 datasize	Same
   1 date	Stuxnet
   1 dates	the anniversary
   1 deals	confidential information
   1 debts	bills
   1 debuggers	the following VirtualMachine Debugger Sandbox Type S
   1 deception	actors
   1 decrypt in place	the same algorithm
   1 default	test workstation use Windows Internet Explorer
   1 default languages	PRC Chinese
