   1 0	Yes
   1 Norton Security	Use comprehensive security software
   1 Norway	Nordic countries
   1 Notepad	Notepad act
   1 OLE	Microsoft technologies
   1 OPERATION TYPE DECRYPT receives	input
   1 OS	Collect system information
   1 OS	a boot start service
   1 OS	system information
   1 OS X environment	Kim
   1 OS name	the infected computer
   1 OS version	gathers system information
   1 OS version	information
   1 OS version number	data
   1 OS vulnerabilities	vectors
   1 OSINT	governments
   1 OSX	devices
   1 ObReferenceObjectByHandle	Kernel routine
   1 Object Oriented C	an unusual programming technique
   1 Odnoklassniki	media networks
   1 Office	MH370
   1 Office	program
   1 Office document	another attack vector
   1 Office documents	attachments
   1 Office documents	data
   1 Oil conferences	documents topics
   1 Ollydbg	Debuggers
   1 Oman	customers
   1 Oman	points
   2 OneDrive	a channel
   2 OneDrive	a secondary communication channel
   2 OneDrive	party web services
   1 Onion Duke	malware families
   1 OnionDuke	Dukes
   1 OnionDuke	tools
   1 Online	Hackers Attack
   1 OpRussia	groups
   1 OpenSCManager	APIs
   1 OpenX	platforms
   1 Opening Windows Firewall Method Acts	a proxy
   1 Opera	browsers
   1 Operation	WhiskeyAlfa
   1 Operation Aurora	intrusions
   1 Operation Beebus	attacks
   1 Operation Cloud Hopper APT10	a China
   1 Operation Cloud Hopper None	domains share
   1 Operation Night Dragon	Cyber Attack
   2 Operation	APT activity
   1 Oracle	giants
   1 Outlook Web Access	services
   1 P constant	Regin
   1 P2 protocol	the code
   1 PAGE	the gaming content
   1 PBS	organizations
   1 PDF	a decoy
   1 PDF	an attachment
   1 PDF	another attack vector
   1 PDF	document formats
   1 PDF exploit	attachment
   1 PDF viewers	applications
   1 PDFs	documents
   1 PE	download
   1 PE header	a preferred allocation base
   1 PHP	languages
   1 PHP	the site
   1 PIN	binary instrumentation tools
   1 PIN tool	emulators
   1 PIN tool	popular dynamic analysis tools
   1 PIVY	the payload
   1 PIVY passwords	samples
   1 PK2	a console client
   1 PLC code	Stuxnet
   1 PLC information gathering	functions
   1 PLCs	ICS hardware
   1 PNG file format	the carrier format
   1 PNG image file format	the carrier
   1 POP3	different network protocols
   1 POST bodies	a method
   1 POST request	the key
   1 PPSX documents	a vehicle
   1 PPT	common file types
   1 PRC Chinese	default languages
   1 PRC views	an inalienable part
   1 PRC views	an internal problem
   1 PSExec	common hacking tools
   1 PSYOPS	attacks
   1 PSYOPS	modern information operations
   1 PUSHed	parameters
   1 Pakistan	a single theater
   1 Pakistan	countries
   1 Pakistan	locations
   1 Pakistani woman	a decoy
   1 Palantir	sponsors
   1 Palo Alto	colleagues
   1 Palo Alto Networks	a command
   1 Palo Alto Networks WildFire	measures
   1 Panda	China
   1 Papua	regions
   1 Paraguay	customers
   1 ParamB	an integer value
   1 Parker Aerospace	Companies
   1 Partial list	members
   1 PassiveTotal	Feeds
   1 PassiveTotal	tools
   1 Pastebin	sites
   2 Pathankot attack	a lure
   1 Pawn Storm	APT actors
   1 PayPal	targets
   1 Pegasus	threats
   1 Perrigo	US
   1 Philippines	countries
   1 Pin	various program analysis tools
   1 PlugX	Trojan
   1 PlugX	malware
   1 PlugX	malware payloads
   1 PoS terminals	devices
   1 Podcasts	available free web sources
   1 Poison	families
   1 Poison Ivy	RATs
   1 Poison Ivy	Remote Access Tools
   1 Poison Ivy	Trojans
   1 Poison Ivy	an adversary tool
   1 Poison Ivy	legacy capabilities
   1 Poison Ivy	payloads
   1 Poison Ivy	the same common malware
   1 Poison Ivy	trojans
   2 Poison Ivy	backdoors
   2 Poison Ivy	tools
   4 PoisonIvy	RATs
   2 Poland	countries
   1 Pony Loader	loaders
   1 Portugal	the globe
   1 Poseidon Group	a security firm
   1 Posing	a parcel
   1 Posing	hacktivist groups
   1 PowerShell	administration tools
   1 PowerShell Empire	public code depositories
   1 PowerSploit	frameworks
   1 Prakash Jain	registrant
   1 President Xi 	factors
   1 PrivacyProtect	anonymization
   1 ProductName	registry
   1 Programmers United Develop Net	sites
   1 ProjectSauron	a serious actor
   1 ProjectSauron	an expensive cyberespionage campaign
   1 ProjectSauron	internal proxy nodes
   1 PsExec	administration tools
   1 PsExec	systems
   1 Psiphon Inc	sponsors
   1 Psylo	Trojans
   1 PwDump	Tools
   1 PwDump	credential theft tools
   1 PwDump6	tools
   1 Qatar	countries
   1 RAM	the target
   1 RAR	archives
   1 RAR file	needing translation
   1 RAT	part
   1 RC4	strong encryption algorithms
   1 RC4 encryption key	the malware configuration
   1 RC5	strong encryption algorithms
   1 RC6	strong encryption algorithms
   2 RDP files	the infected system
   1 RIG	kits
   1 RIS	GRIZZLY STEPPE
   1 ROCKET KITTEN	adversaries
   1 RSA	Terracotta
   1 RSA	organizations
   1 RSA	trademarks
   1 RSA Live	part
   1 RSA NetWitness Endpoint	EDR tool
   1 RSA breach	actors
   1 RSS feeds	available free web sources
   1 RTF	common file types
   1 RTF	document formats
   1 RTF	emails
   1 RTF exploit document	Win32
   1 RTF file	an attachment
   1 RTF files	attachments
   1 Radmin	other remote administration tools
   1 Raqqah	areas
   1 Raqqah	groups
   1 Red October	Red October Just
   1 RedOctober	malware
   1 Referer	the compromised website
   1 Regin	high profile threats
   1 Regin	modern malware
   1 Regin	similar kind
   1 Regin platform	Trojan
   1 Regin platform	a simple backdoor
   1 Register the payload	a scheduled task
   1 Remote Access Service	client storage
   1 Remote Access Trojan	research points
   1 Remote Manipulator Tool	applications
   1 ReservedApi	the kernel
   1 Response	JPEG File
   1 Rocket Kitten	attackers
   1 Romania	countries
   1 Ron Deibert	document preparation
   2 Ron Deibert	Citizen Lab colleagues
   1 RootkitRevealer	rootkit scanners
   1 Run	Console
   1 Run	administrator
   1 RunExeCmdSingle component	DLL file
   1 Russia	Actors
   1 Russia	Islamic issues
   1 Russia	State actors
   1 Russia	a bystander
   1 Russia	cases
   1 Russia	locations
   1 Russia	regions
   1 Russia Tops China	Principal Cyber Threat
   2 Russia	members
   2 Russia	nations
   2 Russia	part
   3 Russia	CIS countries
   8 Russia	countries
   1 Russian strategy	part
   2 S Same	J
   1 SABRE PANDA	groups
   1 SANS	organizations
   1 SAV	components
   1 SCADA environment vpn client	installers
   1 SCADA networks	environments
   1 SCIENTISTS AND RESEARCH	individuals
   1 SCT file	an argument
   1 SEC	U
   1 SEC filing document	a lure
   1 SH offering	APT1 affiliation
   1 SIM	Upload device information
   1 SIM country	network metadata
   1 SIM operator	network metadata
   1 SIM serial	network metadata
   1 SIM state	network metadata
   1 SMB routers	network devices
   1 SMS messages	data
   1 SMTP	different network protocols
   1 SPACESHIP	tools
   1 SPE	Lazarus Group
   1 SPE	targets
   1 SQL Slammer	outbreaks
   1 SQL database	identification
   1 SQL injection	common web exploitation techniques
   1 SQL injection	part
   1 SQL queries	features
   2 SQL injection	techniques
   2 SQLMap	tools
   1 SQLi	web application security flaws
   1 SSDs	technologies
   2 SSH keys	the infected system
   1 SSL certificate	a means
   1 SSL certificate	part
   1 SSL code	the code
   1 STL	languages
   1 STRONTIUM	groups
   1 SWIFT	an organization hasn
   1 SWIFT	fields
   1 SabPub	APT
   1 Saker	other malware
   1 Salsa20	strong encryption algorithms
   1 Same	E
   1 Same	MD subcommand
   1 Same	a command
   1 Same	datasize
   1 Same	mswme32
   1 Same	previous illustration
   1 Same file	app11
   1 Same file	start
   1 Sandworm	intelligence
   1 Sandworm	sets
   1 Sandworm exploit	the execution
   2 Sarah McKune	Citizen Lab colleagues
   1 Sarin gas	attacks
   1 Sasser	outbreaks
   1 Saudi Arabia	customers
   1 Saudi Arabia	points
   1 Saudi Arabic	default languages
   4 Saudi Arabia	countries
   1 SaverExtension	unwanted software
   1 ScanBox	frameworks
   1 Scanline	Tools
   1 ScarCruft	HEUR Trojan
   1 ScarCruft	resourceful threat actors
   1 Scarlet Mimic	attack groups
   1 SeaDuke	Dukes
   1 Security software use worldwide	infection
   1 Sednit	previous work a high profile group
   2 Sednit	a high profile group
   1 Sedreco	a spying backdoor
   1 Seduploader	Sednit components
   1 Seduploader	a two
   1 Seinup	this region
   1 Selectron Industrial Company	defense industry contractors
   1 Send random	the header RHOST X
   1 Senegal	Africa
   1 Service Set Identifier	WiFi networks
   1 Seth Hardy	investigation
   1 Shadowpad	a supply chain infection
   1 Shamoon	a ransomware tool
   1 Shamoon	attacks
   1 Shamoon	incidents
   1 Shanghai	registration data
   1 Shell Crew	advanced threat actors
   1 Shellcode	sets
   1 Shodan	sources
   1 Siemens SIMATIC	HMI applications
   1 Singapore	countries
   1 Size Type Install	root
   1 Skipper	s operation a first stage backdoor
   1 Skype	an infected computer
   1 Skype	apps
   1 Skype	media sites
   1 Skype	mobile apps
   1 Skype	technologies
   1 Slammer	computer worms
   1 Slovenia	customers
   1 Smoaler	cure Malware
   1 Smoke Loader	loaders
   1 Snake	intelligence
   1 Snake	much flexibility
   1 Snake	some advanced cyber espionage malware
   1 Snort	IDS
   1 Sochi	subjects
   1 Social Network Sites	Control Channels
   1 Sofacy	malware families
   1 Sofacy	the real culprit
   1 Sofacy group	C2s
   1 Software Engineer	Development Manager
   2 Somalia	countries
   1 Some sort	internal review
   1 Sony	organizations
   1 Sophos	Troj
   1 South Africa	combat aircraft
   1 South East	targets
   1 South Korea	combat aircraft
   1 South Korea	countries
   1 South Korea	the globe
   1 South Korea The above example	media report
   1 South Korean steel	organizations
   1 South Korean territory	the entire Korean peninsula
   1 Spain	customers
   1 Spain	the globe
   1 SpiderLabs	groups
   1 SpyNet	Delphi RAT projects
   1 SpyNet RAT	spyware
   1 Sri Lanka	countries
   1 St	Russia
   1 St	cities
   1 Startup folder	a service DLL
   1 Startup folder	an autostart
   1 StartupInfo structure	a string
   1 Stealth Falcon	operators
   1 Step7 project	records
   2 Step7 project path	input
   1 Stuxnet	APT campaigns
   1 Stuxnet	ICS
   1 Stuxnet	U
   1 Stuxnet	attacks
   1 Stuxnet	computer worms
   1 Stuxnet	control system attacks
   1 Stuxnet	date
   1 Stuxnet	malware
   1 Stuxnet	signifies
   1 Stuxnet DLL	an executable file
   1 Stuxnet LNK exploit	exploits
   1 Stuxnet components	Trojan
   1 Stuxnet exploding gas	pipelines
   1 Stuxnet viruses	Attacks
   1 Sub7	online
   1 Sudan	points
   1 Sunday	the week
   1 Supermailer	software
   1 Supporter personas	Profiles
   1 Suricata	IDS
   1 Surtr	this malware family
   1 Sweden	Nordic countries
   1 Sweden	countries
   2 Switzerland	countries
   1 Symantec	Backdoor
   1 Symantec	Dragonfly
   1 Symantec	OSX
   1 Symantec	Trojan
   1 Symantec	companies
   1 Symantec	incidents
   1 Symantec	network security firms
   1 Symantec	security firms
   1 Symantec Critical System Protection	solutions
   1 Symantec Endpoint Protection	Symantec products
   1 SymantecUpdate	SymantecLiveUpdate
   1 Symbian	platforms
   1 Syria	a lure
   1 Syria	deserts
   3 Syria	countries
   1 Syser Debugger	Tools
   1 System Center Endpoint Protection	sources
   1 T	the cryptographic key
   1 T9000	malware payloads
   1 TA459	attack groups
   1 TAO operations	computer network exploitation
   1 TEMPER PANDA	groups
   1 TINYTYPHON	this operation
   1 TNG	helpful assistance
   1 TV	media
   1 TV5Monde attack	VBS
   1 TYPO3	blogging platforms
   1 TYPO3	tools
   1 Tagalog	languages
   1 Taidoor	other malware
   1 Taidoor	this region
   1 Taiwan	Asia
   1 Taiwan	an inalienable part
   1 Taiwan	combat aircraft
   1 Taiwan	customers
   1 Taiwan	nations
   1 Taiwan	security policy issues
   1 Taiwan presidential election	a spear phishing theme
   2 Taiwan	countries
   1 TeamSpy	parties
   1 TeamSpy components	Red October Just
   1 Teamviewer	part
   1 Technical Details Most interesting	victims
   1 TelePort Crew threat actor register	part
   1 Telegram	apps
   1 Telenor Pakistan	communications service provider
   1 Telvent	company
   1 Temporary component INSTALLER Bypass UAC Run	administrator Persistent
   1 Terracotta	VPN service
   1 Text	Bloomberg news story
   1 Thai	languages
   1 Thailand	countries
   1 Thailand	the globe
   1 The ability	specific file
   1 The actual contact	POST request
   1 The attachment	Microsoft Office file
   1 The attachment	Word document
   1 The component posing	Microsoft Antispyware
   1 The decoded file	Maudi dropper
   1 The dropped file	RarSFX archive
   1 The encrypted file systems	a work environment
   1 The fi rst connection	KEEPALIVE connection
   1 The file descriptions	properties
   1 The fingerprinting scripts gains	much information
   1 The first component	Windows kernel driver
   1 The first port acts	a control
   1 The generated key	SHA1 hash
   1 The initial download	Java Applications Descriptor
   1 The keylogger	hacking tools
   1 The last sample	DarkShell ddos bot
   1 The lure document	Powerpoint
   1 The main payload	DLL file
   1 The process count	environment check
   1 The relevant file hashes	data
   1 The sample	PowerPoint file
   1 The server response	PowerShell command
   1 The time zone	C
   2 The infected machine acts	the server
   3 The module	Windows DLL file
  13 The file	PE EXE file
   1 This file	Microsoft Windows native application
   1 This file	USB file stealer
   1 This module	Windows DLL file
   1 This payload	MSIL
   1 This sample	DLL
   1 This sample	Stealer variant
   1 This sort	functionality
   1 This sort	redirector
   1 Tibet	an internal problem
   1 Tibet	security policy issues
   1 Tibetan Uprising anniversary	a theme
   1 Tibetan government	Tibetan organizations
   1 Tibetan movement	a threat
   1 Timer	checks
   1 Titan Rain	strategic cyber espionage campaigns
   1 Tooway	services
   1 Tor	Jason Fritz free software
   1 Tor	security tools
   1 Tor	tools
   1 Tor network	a mechanism
   1 Trading	organizations
   1 Tranchulas website	a client
   1 Transmission Control Protocol	protocols
   1 Transocean	contractors
   1 Traps	measures
   1 Trend Micro	BKDR  RPKNUF
   1 Trend Micro	BKDR DUOJEEN
   1 Trend Micro	BKDR SLOTH
   1 Trend Micro	TROJ GUPD
   1 Trend Micro	TROJ WIMMIE
   1 Trend Micro	TROJ YAHOYAH
   1 Trend Micro	research groups
   1 TrendMicro	companies
   1 Trojan	MobileOrder
   1 Trojan	Trojan
   1 Trojan	a standalone alternative
   1 TrojanDownloader Win32	the computer
   1 Trojans	methods
   1 TrueCrypt	common computer utilities
   1 Trump Hotels	the last year
   1 Tuka	helpful assistance
   1 Tunisia	Africa
   1 Turkey	customers
   1 Turkey Japan Denmark United	regions
   4 Turkey	countries
   1 Turkmenistan	countries
   1 Turla	attackers
   1 Twitter	Command
   1 Twitter	IT companies
   1 Twitter	RTB ads
   1 Twitter	a backup C
   1 Twitter	an intermediary
   1 Twitter	cloud computing platforms
   1 Twitter	several major technology companies
   2 Twitter	companies
   2 Twitter	legitimate web services
   1 Type	samples
   1 U	industries
   1 U00P	C
   1 UAC	other protection mechanisms
   1 UCL compression	obfuscation code
   1 UF6	valves
   1 UID value	the value
   1 UPX	packers
   1 URL	Internet Web site
   1 URL format	RAMNY
   2 URL	Internet website
   3 URL	this document
   1 US	a potential adversary
   1 US	countries
   1 US English	default languages
   1 US defence	factor authentication
   1 US laboratories	institutions
   1 USB	a new removable device
   1 USB	infection vectors
   1 USB	intelligence
   1 USB sticks	drives
   1 USB thumb	drives
   2 USB	drives
   1 Ukraine	Novorossiya
   1 Ukraine	a sovereign nation
   1 Ukraine	banks
   1 Ukraine	locations
   1 Ukraine	parts
   1 Ukraine	republics
   1 Ukraine	victims
   2 Ukraine	the next target
   2 Ukraine Crisis	a Test
   4 Ukraine	countries
   1 Ukrainian design advice	systems
   1 Ukrainian government officials	targets
   1 Ukrainian patriotism	subjects
   1 UltraVNC	applications
   1 Ultrasurf	Software
   2 United	countries
   2 United Arab Emirates	countries
   1 Unknown Logger Public	this operation
   1 Uroburos	a complete framework
   1 Uroburos	a framework
   1 Uroburos	incidents
   1 User Account Control	features
   1 VFS	module
   1 VICEROY TIGER	adversaries
   1 VIXEN PANDA	groups
   1 VKontakte	sites
   1 VLAN separation	ways
   1 VMWare	JRE
   1 VMware	a virtual environment
   1 VMware	malware analysis
   1 VMware drivers	a carrier
   1 VNC	applications
   1 VNC	desktop programs
   1 VOHO	Microsoft
   1 VOLUME	modifiers
   1 VPN login	services
   2 VPN configurations	the infected system
   1 VPNs	AD authentication
   1 VPNs	all remote access solutions
   1 VPNs	security tools
   1 VPNs	tools
   1 VPSNOC	the 
   1 VPSNOC	the entity
   1 VPSNOC	the registrant organization
   1 VTI	GmRemote sample
   1 Valve Software	platforms
   1 Venezuela	customers
   1 Venezuela	points
   1 Verdasys Digital Guardian	capable platform
   2 Vietnam	countries
   1 ViperRAT	threats
   1 Virtualbox	malware analysis
   1 VirusTotal	common malware repositories
   1 VirusTotal some malware	services
   1 Vkontakte	media networks
   1 Vodafone	operators
   1 Voice	sites
   1 WCE	tools
   1 WEBC2 variants	part
   1 WEBCAMLIVE	command strings
   1 WHOIS details	we11point
   1 WSAStartup	APIs
   1 Wannacry	a pet project
   1 Warith	part
   1 Wattan TV	Middle Eastern media organizations
   1 Web application	services
   1 Web application server	servers
   1 Web browsing	functions
   1 Web compromise	a vector
   1 Web compromise	initial infection vectors
   1 Web compromises	an initial infection vector
   1 Web injects	added functionality
   1 Web servers	the perimeter
   5 Web	the primary threat vectors
   5 Web compromise	an initial infection vector
   1 WebDAV	the communication channel
   1 Weevil	other sophisticated malware families
   1 West	North Korea
   1 West	South Korea
   1 West	a whole
   1 West	an incompatibility
   1 West	analysts
   1 WhatsApp	apps
   1 White Paper International politics	Bloomberg news story
   1 Wicked Rose	the ring
   1 Wikileaks	hacktivists
   1 WildFire	malware
   1 Win32	multiple unrelated signature classifications
   1 Win32	unwanted software
   1 WinExe	tools
   1 WinExec	API calls
   1 WinNuke applications	online
   1 WinRAR	common computer utilities
   1 WinUtils	common computer utilities
   1 Windows	Windows versions
   1 Windows	a modern operating system
   1 Windows	platforms
   1 Windows	systems
   1 Windows	this variable
   1 Windows	versions
   1 Windows Credential Editor	tools
   1 Windows Credential Viewer	tools
   1 Windows Defender	Wingbird
   1 Windows Incident Management scripting	features
   1 Windows Live	accounts
   1 Windows Mobile	platforms
   1 Windows NT	systems
   1 Windows OS version	the client
   1 Windows Vista	Windows
   1 Windows binaries	a standard environment
   1 Windows directory	netsvc
   1 Windows executables	a compile timestamp
   1 Windows server	Windows
   1 Windows telnet server	other remote administration tools
   2 Windows	Windows
   1 Wool3n	members
   1 Word	Microsoft Office application
   1 Word	files
   1 Word document	a decoy
   1 WordPress	PHP scripting language
   1 Working	InfoSec Analyst
   1 XAgent	tools
   1 XLS	Documents
   1 XLS	common file types
   1 XOR encryption	functionality code
   1 XOR encryption scheme	Gen
   1 XOR key	the zero bytes
   1 XSS	web application security flaws
   1 XTremeRAT	spyware
   1 Xagent	independent malware
   1 XtremeRat	addition RATs
   1 YARA rules	indicators
   1 YARA signatures	indicators
   1 YDteam	hackers group name
   1 Yahoo	a decoy page
   1 Yahoo	accounts
   1 Yahoo	cloud computing platforms
   1 Yahoo	companies
   1 Yahoo	media outlets
   1 Yahoo	platforms
   1 Yaser Balaghi	Microsoft Visual Studio
   1 Yemen	points
   1 YouTube	video uploading sites
   1 ZIP	utilities
   1 Zegost	other malware
   1 ZxShell node	a server
   1 a Chinese tool	password dumpers
   1 a German gas company	a test
   1 a OneDrive cloud storage drive	a network drive
   1 a South Korean government agency	organizations
   1 a bank	a webpage
   1 a batch file	files
   1 a binary channel	protocols
   1 a binder Trojan	DropIt
   1 a browser	part
   1 a browser	s client side software
   1 a browser	times
   1 a bugged phone call	data
   1 a business	Anyone
   1 a chance	partnership
   1 a chief security	management
   1 a colleague	the recipient
   1 a comment field	web form
   1 a company executive	the recipient
   1 a complete failure	China
   1 a component	a computer security tool
   1 a compromised system	a proxy
   1 a computer security firm	a Russian gang
   1 a computer system	Tibetan institutions
   1 a concatenated form	the phrase
   1 a contractor	unknowing third party
   1 a conversion dialog	a result
   1 a custom	advanced protection method
   1 a custom	advanced protection techniques
   1 a custom network	offensive network reconnaissance tools
   1 a cyberattack	something
   1 a data leak	CEC
   1 a decoy document	components
   1 a deterrent	blackmail
   1 a different hash	the configuration data changes
   1 a disadvantage	the camouflage
   1 a distinct form	attack
   1 a document icon	looks
   1 a downloaded data file	tasks
   1 a downloaded database file	a scheduled task
   1 a dozen	commands
   1 a driver	a minifilter
   1 a driver	program
   1 a duck	quacks
   1 a fake conference page	a lure
   1 a fake tool	the opposition
   1 a few antivirus vendors	Gamaredon
   1 a fi lename string	a parameter
   1 a file	a result
   1 a file present	a string
   1 a financial incentive	imperatives
   1 a flag	checks
   1 a form	CGI path consisting
   1 a form	Japanese ritual suicide
   1 a form	authentication
   1 a form	conflict
   1 a form	cyberwar
   1 a form	distraction the malware
   1 a form	emotional catharsis
   1 a form	encryption
   1 a form	extortion
   1 a form	folding
   1 a form	self
   1 a form	â
   1 a function stub	remote thread
   1 a gas pipeline	Iran
   1 a gas pipeline	a specific industrial control system
   1 a government	actor
   1 a graphical user interface	functions
   1 a group	APT
   1 a hotel jobs	victims
   1 a kernel exploit	exploits
   1 a kernel mode driver	drivers
   1 a key validity check	some important check
   1 a keylogger	modules
   1 a leader	leaders
   1 a list	Russia
   1 a listing	a year
   1 a load	a dynamic library
   1 a localhost address	backup
   1 a log	IT Infrastructure
   1 a malicious document	the initial lure
   1 a malicious file	an e
   1 a massive centralization	s leadership
   1 a massive subversion	activities
   1 a message queue	an array
   1 a modern fuel service station	a parallel
   1 a module	lateral movement tools
   1 a mutex	the file
   1 a new process	another user
   1 a news report	accessible material
   1 a news website	a popular website
   1 a nuclear warhead	a satellite
   1 a number	campaigns
   1 a particular custom ICS	another source
   1 a period	occasions
   1 a picture	the flu
   1 a plethora	distinct malware toolsets
   1 a plot	messages
   1 a possible exploitation campaign	financial threat campaigns
   1 a private network	a platform
   1 a project	input
   1 a prominent Egyptian lawyer	a lure
   1 a proxy	this mode
   1 a registry run key	load point
   1 a remote access Trojan	an untrusted application
   1 a remote system	a result
   1 a reply	a binary module
   1 a rootkit	stealth
   1 a screenshot	info
   1 a script	malicious content
   1 a series	Cyber Arabs
   1 a short form	the path
   1 a significant risk	the existence
   1 a similar capacity	BACKBEND
   1 a simple task	the ecosystem
   1 a single actor	part
   1 a single cloud service	the backbone
   1 a single computer	points
   1 a single entity	the activity
   1 a smart card	a second factor
   1 a solution	countries
   1 a sort	a fusion
   1 a state actor	an advanced threat
   1 a strategic messaging outlet	the actual attacker
   1 a string	input
   1 a system	a whole
   1 a system compromise	CEC
   1 a target IP	measures
   1 a targeted attack	t look
   1 a targeted form	phishing
   1 a test	checks
   1 a thorough technical analysis	the first wave
   1 a time stamp	status messages
   1 a timeline	the threat
   1 a transferred file	anything
   1 a transformation	technologies
   1 a two	Chinese business hours
   1 a user	Syrian
   1 a user	an update
   1 a victim system	a redundancy infection
   1 a visitor	a target
   1 a vote	adoption
   1 a watering hole attack	methods
   1 a web shell	a primary backdoor
   1 a webcam	devices
   1 a webserver	Internet connectivity
   1 a while	topics
   1 a worm	the network
   2 a directory	the system
   2 a form	directory assistance
   2 a form	espionage
   1 abilities	the original version
   1 acceleration	performance parameters
   1 access	Android permissions
   1 access	hosts
   1 access	reasons
   1 access	security tools
   1 access	systems
   1 access Twitter	a background process
   2 access	Google Apps services
   1 account information	data
   1 account names	capture online banking credentials
   1 account numbers	credentials
   1 accountancy firms	services
   1 acquisition	states
   1 act	a console client
   1 act	a starting point
   1 acting	a backdoor
   1 acting	a headquarters component
   1 actions	hackers
   1 actions	the lawful protection
   2 actions	function number
   1 activities	crimes
   1 activity groups	researchers
   1 actors	Uroburos
   1 actors	actors
   1 actors	all remote access solutions
   1 actors	deception
   1 actors	part
   1 acts	a back door
   1 acts	a launcher
   1 acts	a loader
   1 acts	a second decoy
   1 acts	the campaign code
   1 acts	the main load
   1 addition	C
   1 addition	servers
   1 addition	variants
   1 additional form	provocation
   1 additional functionality	the increase
   1 additional malware	an attachment
   1 additional payload applications	system
   1 address	Proxy settings
   1 address	information
   1 address Decoy	details
   1 address books	data
   1 administration tools	tools
   1 administrative police	directorates
   1 administrator accounts	accounts
   1 administrators	the domain accounts
   1 adobe	names
   1 adult sites	websites
   1 advanced knowledge	Opposition
   1 advanced wielding	Russian submarine builders
   1 adversaries	adversaries
   1 advertisements	the user
   2 aerospace	areas
   7 aerospace	industries
   1 affairs personnel	journalists
   1 agencies	organizations
   1 aggressions	events
   1 ahzab	aliases
   1 air	travel
   1 airline security	areas
   1 airlines	organizations
   1 airports	stocks
   1 all sort	mischief
   1 an 	the ongoing war
   1 an Ethiopian opposition group	bait
   1 an active presence	a moderator
   1 an advertisement	Russia
   1 an aggressor	a target
   1 an aid coordinator	operations
   1 an air	another victim computer
   1 an ambush	attacks
   1 an analysis	use
   1 an attack codeset	offensive network reconnaissance tools
   1 an effort	elections
   1 an employee	human error
   1 an encrypted format	a string resource
   1 an encrypted resource entry	an encrypted binary array
   1 an example	samples
   1 an exploit	exploits
   1 an external target	part
   1 an incident	Cyber attacks
   1 an incomplete function pointer table	interface
   1 an increase	this transition
   1 an individual	a likely culprit
   1 an individual bearing the same name	the application
   1 an initial value	an input argument
   1 an innocent backup utility	the word
   1 an operation qualifies	attack
   1 an organised way	part
   1 an organization	a phishing campaign
   1 an original	BlackWorm tool
   1 an oversight	i t
   1 an overview	documents
   1 an undisclosed oil	industries
   1 an upgrade	Looks
   2 an audio file	a decoy
   1 analysis paper	C
   1 analysis tools	resources
   1 analytical context	threat intelligence
   1 anchors	servers
   1 anniversary	a theme
   1 anomalies	indications
   1 another country	countries
   1 another form	cyber security attacks
   1 another form	executable file
   1 answer	a permanent rule
   1 antimalware	measures
   1 antimalware	part
   1 antivirus	Swisyn
   1 antivirus	automated security tools
   1 antivirus	controls
   1 antivirus	measures
   1 antivirus	methods
   1 antivirus engine	Rootkit
   1 antivirus software	security products
   1 antivirus software	the client
   1 any analogy	World War C
   1 any form	action
   1 any form	state sponsorship
   1 any form	storage
   1 any image files	the page
   1 any malicious module	LoadLibraryW
   1 any other specific software	times
   1 any service packs	windows version
   1 any sort	civic action
   1 any sort	cohesive manner
   2 any form	high
   1 anything	images
   1 app author	head
   1 appear	separated rundll
   1 application whitelisting	ways
   1 applications	a vector
   1 applications	components
   1 armed force	a foreign policy tool
   1 arrest	forms
   1 arrests	sanctions
   1 assassination attempts	terrorist activity
   1 assesses	the security authorities
   2 asset freezes	sanctions
   1 association	content
   1 attachment	a legitimate message
   1 attack	the first one
   1 attackers	C
   1 attackers	Moonlight
   1 attackers	PHP scripting language
   1 attackers	a clue
   1 attackers	a component
   1 attackers	a launchpad
   1 attackers	a slang term
   1 attackers	an entry point
   1 attackers	an intermediary point
   1 attackers	investigators
   1 attackers	servers
   1 attacks	HEUR Trojan
   1 attacks	Shockwave Flash
   1 attacks	a component
   1 attacks	a lengthy operation history
   1 attacks	a new weapon
   1 attacks	a silver bullet
   1 attacks	a single attacker
   1 attacks	another attack vector
   1 attacks	attacks
   1 attacks	campaigns
   1 attacks	consumers
   1 attacks	cybercriminals
   1 attacks	defenders
   1 attacks	online
   1 attacks	the contact email address
   1 attacks	the initial penetration vector
   1 attacks	the number
   2 attacks	a form
   1 attempts	malicious behavior
   1 audio capture	commands
   1 author metadata	the clean document
   1 authors	Chinese actor
   1 authors	an attempt
   1 authors	an evasion method
   1 authors Stephen Doherty	Security Response Manager
   1 automatic remediation	responses
   1 automation	a service
   1 backdoor	a persistent service
   1 backdoors	Backdoor
   1 backhaul	IO data
   1 banking	activities
   1 banking	data
   1 banking	services
   1 banking	threats
   1 banking information	personal information
   1 banking trojans	malware
   1 banks	Financial organizations
   1 banks	financial industry
   1 banks	locations
   1 banks	organisations
   1 banks	the finance industry
   1 batch scripting	features
   1 battle plans	secrets
   1 bees	computers
   1 beginnings	a tool
   1 behavioral analysis	proactive detection methods
   1 behaviour	disinformation
   1 bid exploration data	proprietary information
   1 bills	debts
   1 binaries	Win32
   1 biotech	areas
   1 birthdate	details
   1 blocks	packets
   1 blog	words
   1 blog sites	intermediaries
   1 blogs	available free web sources
   1 blogs	services
   1 blogs	video uploading sites
   1 boasts Telenor	a client
